x,y,Distance
Moravian-Silesian,Pomorskie,0.0
Moravian-Silesian,Łódzkie,0.0
Moravian-Silesian,Świętokrzyskie,0.0
Moravian-Silesian,Lubelskie,0.0
Moravian-Silesian,Podkarpackie,0.0
Moravian-Silesian,Podlaskie,0.0
Moravian-Silesian,Mazowieckie,0.0
Małopolskie,Prague,0.0
Małopolskie,Central Bohemian,0.0
Małopolskie,South Bohemian,0.0
Małopolskie,Plzeň,0.0
Małopolskie,Karlovy Vary,0.0
Małopolskie,Ústí nad Labem,0.0
Małopolskie,Liberec,0.0
Małopolskie,Hradec Králové,0.0
Małopolskie,Olomouc,0.0
Małopolskie,South Moravian,0.0
Małopolskie,Vysočina,0.0
Małopolskie,Pardubice,0.0
Małopolskie,Zlín,0.0
Małopolskie,Moravian-Silesian,0.0
Małopolskie,Małopolskie,200.0
Małopolskie,Śląskie,0.0
Małopolskie,Wielkopolskie,0.0
Małopolskie,Zachodniopomorskie,0.0
Małopolskie,Lubuskie,0.0
Małopolskie,Dolnośląskie,0.0
Małopolskie,Opolskie,0.0
Małopolskie,Kujawsko-Pomorskie,0.0
Małopolskie,Warmińsko-Mazurskie,0.0
Małopolskie,Pomorskie,0.0
Małopolskie,Łódzkie,0.0
Małopolskie,Świętokrzyskie,0.0
Małopolskie,Lubelskie,0.0
Małopolskie,Podkarpackie,0.0
Małopolskie,Podlaskie,0.0
Małopolskie,Mazowieckie,0.0
Śląskie,Prague,0.0
Śląskie,Central Bohemian,0.0
Śląskie,South Bohemian,0.0
Śląskie,Plzeň,0.0
Śląskie,Karlovy Vary,0.0
Śląskie,Ústí nad Labem,0.0
Śląskie,Liberec,0.0
Śląskie,Hradec Králové,0.0
Śląskie,Olomouc,0.0
Śląskie,South Moravian,0.0
Śląskie,Vysočina,0.0
Śląskie,Pardubice,0.0
Śląskie,Zlín,0.0
Śląskie,Moravian-Silesian,0.0
Śląskie,Małopolskie,0.0
Śląskie,Śląskie,200.0
Śląskie,Wielkopolskie,0.0
Śląskie,Zachodniopomorskie,0.0
Śląskie,Lubuskie,0.0
Śląskie,Dolnośląskie,0.0
Śląskie,Opolskie,0.0
Śląskie,Kujawsko-Pomorskie,0.0
